genres;main_genre;;;
swing;Jazz;;;
thrash metal;Heavy Metal;;;
rock nacional brasileiro;Rock;;;
post-disco;Dance Music, Techno and House;;;
dmv rap;Rap and Hip-Hop;;;
c-pop;Pop;;;
filter house;Dance Music, Techno and House;;;
partyschlager;Not_assignable;;;
lo-fi jazzhop;Lo-Fi;;;
korean pop;Pop;;;
madchester;Not_assignable;;;
shiver pop;Pop;;;
pagode novo;Latin American music;;;
sheffield indie;Pop;;;
cancion melodica;Utility;;;
socal pop punk;Rock;;;
korean r&b;R&B;;;
irish rock;Rock;;;
trap boricua;Rap and Hip-Hop;;;
rap espanol;Rap and Hip-Hop;;;
dreamo;Not_assignable;;;
post-screamo;Rock;;;
hyperpop;Pop;;;
scandipop;Pop;;;
southern rock;Rock;;;
french rock;Rock;;;
melodic dubstep;Dance Music, Techno and House;;;
nz pop;Pop;;;
rumba;Latin American music;;;
latin viral pop;Pop;;;
tejano;Not_assignable;;;
german underground rap;Rap and Hip-Hop;;;
rap marseille;Rap and Hip-Hop;;;
cumbia sonidera;Latin American music;;;
australian indie;Pop;;;
chamber pop;Pop;;;
rap conciencia;Rap and Hip-Hop;;;
afrofuturism;Not_assignable;;;
focus beats;Lo-Fi;;;
indie rock italiano;Rock;;;
post-punk;Rock;;;
axe;Latin American music;;;
deep tropical house;Dance Music, Techno and House;;;
pop emo;Rock;;;
brooklyn indie;Pop;;;
uk drill;Rap and Hip-Hop;;;
indonesian indie;Pop;;;
polish pop;Pop;;;
turkish folk;Folk;;;
swedish electropop;Pop;;;
k-rap;Rap and Hip-Hop;;;
drill;Rap and Hip-Hop;;;
wrestling;Not_assignable;;;
german metal;Heavy Metal;;;
musica popular colombiana;Latin American music;;;
deep new americana;Not_assignable;;;
indie anthem-folk;Folk;;;
bow pop;Pop;;;
bachata dominicana;Latin American music;;;
future bass;Dance Music, Techno and House;;;
meditation;Lo-Fi;;;
french indietronica;Dance Music, Techno and House;;;
classic bollywood;Utility;;;
classic swedish pop;Pop;;;
canadian singer-songwriter;Not_assignable;;;
canadian trap;Rap and Hip-Hop;;;
double drumming;Not_assignable;;;
belgian edm;Dance Music, Techno and House;;;
norwegian indie;Pop;;;
punk blues;Jazz;;;
lullaby;Not_assignable;;;
rap napoletano;Rap and Hip-Hop;;;
anime score;Utility;;;
groove metal;Heavy Metal;;;
white noise;Dance Music, Techno and House;;;
jazz fusion;Jazz;;;
jazz blues;Jazz;;;
bedroom soul;R&B;;;
turkish alt pop;Pop;;;
cumbia 420;Latin American music;;;
uk alternative pop;Pop;;;
bass house;Dance Music, Techno and House;;;
spanish rock;Rock;;;
uk alternative hip hop;Rap and Hip-Hop;;;
panamanian pop;Pop;;;
cantopop;Pop;;;
jam band;Not_assignable;;;
complextro;Dance Music, Techno and House;;;
pop house;Dance Music, Techno and House;;;
traprun;Rap and Hip-Hop;;;
shoegaze;Rock;;;
neon pop punk;Rock;;;
electro;Dance Music, Techno and House;;;
etherpop;Pop;;;
classic canadian rock;Rock;;;
movie tunes;Not_assignable;;;
big beat;Dance Music, Techno and House;;;
german drill;Rap and Hip-Hop;;;
alternative country;Country;;;
environmental;Not_assignable;;;
kentucky hip hop;Rap and Hip-Hop;;;
vocal house;Dance Music, Techno and House;;;
japanese singer-songwriter;Not_assignable;;;
russian rock;Rock;;;
arabesk;Utility;;;
oklahoma country;Country;;;
country rap;Rap and Hip-Hop;;;
contemporary vocal jazz;Jazz;;;
aussietronica;Dance Music, Techno and House;;;
uk metalcore;Heavy Metal;;;
italian underground hip hop;Rap and Hip-Hop;;;
japanese r&b;R&B;;;
broadway;Not_assignable;;;
azontobeats;Utility;;;
early music;Classical;;;
afro dancehall;Reggae;;;
tech house;Dance Music, Techno and House;;;
melbourne bounce international;Rap and Hip-Hop;;;
new age;World;;;
schlager;Utility;;;
rap dominicano;Rap and Hip-Hop;;;
salsa puertorriquena;Latin American music;;;
kindermusik;Not_assignable;;;
modern blues;Jazz;;;
blues;Jazz;;;
dutch house;Dance Music, Techno and House;;;
thai pop;Pop;;;
neo-synthpop;Pop;;;
japanese alternative rock;Rock;;;
pop lgbtq+ brasileira;Pop;;;
deep underground hip hop;Rap and Hip-Hop;;;
background piano;Lo-Fi;;;
classic country pop;Pop;;;
vallenato;Utility;;;
polish alternative rap;Rap and Hip-Hop;;;
uk post-punk;Rock;;;
electro latino;Dance Music, Techno and House;;;
baroque;Classical;;;
modern alternative pop;Pop;;;
hamburg hip hop;Rap and Hip-Hop;;;
drum and bass;Dance Music, Techno and House;;;
ska;Reggae;;;
jazz funk;R&B;;;
brazilian reggae;Reggae;;;
minimal techno;Dance Music, Techno and House;;;
power pop;Pop;;;
christian pop;Pop;;;
industrial;Industrial and Gothic;;;
old school rap francais;Rap and Hip-Hop;;;
lo-fi chill;Lo-Fi;;;
post-hardcore;Rock;;;
sufi;Utility;;;
flamenco urbano;Latin American music;;;
canadian indie;Pop;;;
german alternative rap;Rap and Hip-Hop;;;
indie surf;Rap and Hip-Hop;;;
nyc pop;Pop;;;
drill espanol;Rap and Hip-Hop;;;
japanese chillhop;Lo-Fi;;;
alternative emo;Rock;;;
eurovision;Not_assignable;;;
frauenrap;Rap and Hip-Hop;;;
modern folk rock;Rock;;;
anti-folk;Rock;;;
pinoy rock;Rock;;;
finnish pop;Pop;;;
lo-fi indie;Lo-Fi;;;
golden age hip hop;Rap and Hip-Hop;;;
ninja;Not_assignable;;;
calming instrumental;Lo-Fi;;;
indonesian pop rock;Rock;;;
finnish dance pop;Pop;;;
swedish gangsta rap;Rap and Hip-Hop;;;
memphis soul;R&B;;;
oxford indie;Pop;;;
celtic rock;Rock;;;
moombahton;Dance Music, Techno and House;;;
protopunk;Rock;;;
progressive metal;Heavy Metal;;;
speedrun;Not_assignable;;;
chilean rock;Rock;;;
early romantic era;Classical;;;
weirdcore;Not_assignable;;;
j-pixie;Not_assignable;;;
classic j-pop;Pop;;;
london rap;Rap and Hip-Hop;;;
black americana;Not_assignable;;;
chicago drill;Rap and Hip-Hop;;;
reggae en espanol;Reggae;;;
acoustic cover;Not_assignable;;;
argentine indie;Pop;;;
cumbia;Latin American music;;;
czsk hip hop;Rap and Hip-Hop;;;
pop rock brasileiro;Rock;;;
turkish alternative rock;Rock;;;
crunk;Rap and Hip-Hop;;;
modern hard rock;Rock;;;
noise pop;Pop;;;
classical era;Classical;;;
oakland hip hop;Rap and Hip-Hop;;;
funk viral;R&B;;;
afroswing;R&B;;;
funk bh;R&B;;;
uplifting trance;Dance Music, Techno and House;;;
irish pop;Pop;;;
rawstyle;Rock;;;
australian electropop;Pop;;;
turkish jazz;Jazz;;;
old school atlanta hip hop;Rap and Hip-Hop;;;
indie electropop;Pop;;;
canadian metal;Heavy Metal;;;
nu disco;Dance Music, Techno and House;;;
late romantic era;Classical;;;
bebop;Jazz;;;
irish singer-songwriter;Not_assignable;;;
modern reggae;Reggae;;;
old school hip hop;Rap and Hip-Hop;;;
torch song;Not_assignable;;;
canadian electronic;Dance Music, Techno and House;;;
funk pop;Pop;;;
australian psych;Rock;;;
anime lo-fi;Lo-Fi;;;
drill francais;Rap and Hip-Hop;;;
world;World;;;
reading;Not_assignable;;;
dubstep;Dance Music, Techno and House;;;
focus;Not_assignable;;;
tagalog rap;Rap and Hip-Hop;;;
japanese vgm;Not_assignable;;;
neue deutsche harte;Rock;;;
soul blues;Jazz;;;
trap mexicano;Rap and Hip-Hop;;;
chamber psych;Rock;;;
nu-cumbia;Latin American music;;;
deep euro house;Dance Music, Techno and House;;;
coverchill;Pop;;;
uk funky;Dance Music, Techno and House;;;
romanian pop;Pop;;;
turbo folk;Folk;;;
minnesota hip hop;Rap and Hip-Hop;;;
post-romantic era;Classical;;;
chicago indie;Pop;;;
post-punk argentina;Rock;;;
preschool children's music;Not_assignable;;;
pop romantico;Pop;;;
progressive trance;Dance Music, Techno and House;;;
british singer-songwriter;Not_assignable;;;
symphonic metal;Heavy Metal;;;
slowed and reverb;Rap and Hip-Hop;;;
belgian pop;Pop;;;
arkansas country;Country;;;
ska punk;Rock;;;
deep turkish pop;Pop;;;
german indie;Pop;;;
political hip hop;Rap and Hip-Hop;;;
antiviral pop;Pop;;;
modern salsa;Latin American music;;;
swedish trap;Rap and Hip-Hop;;;
epicore;Heavy Metal;;;
german cloud rap;Rap and Hip-Hop;;;
melodic metal;Heavy Metal;;;
albanian hip hop;Rap and Hip-Hop;;;
dance-punk;Rock;;;
pacific islands pop;Pop;;;
v-pop;Pop;;;
vocaloid;Not_assignable;;;
nashville sound;Country;;;
indie triste;Pop;;;
neo classical metal;Heavy Metal;;;
acid rock;Rock;;;
anthem emo;Rock;;;
sertanejo tradicional;Utility;;;
progressive bluegrass;Country;;;
speed metal;Heavy Metal;;;
pagode baiano;Latin American music;;;
